TermID, Name, Frequency, PlotX, PlotY, LogSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0008152", "metabolic process", 42.9083405734144, -7.43469774740386, 0.934628338031663, 3.89779198193922, -1.58284257399048, 1, 0, null, False
"GO:0034243", "regulation of transcription elongation from RNA polymerase II promoter", 0.184622067767159, 1.84365398644995, -6.80460577411856, 1.54406804435028, -1.84167807411026, 0.865313080684543, 0, null, False
"GO:0034244", "negative regulation of transcription elongation from RNA polymerase II promoter", 0.0705907906168549, null, null, 1.14612803567824, -1.65717197605473, 0.866182973340701, 0.86679896, 34243, True
"GO:0032785", "negative regulation of DNA-templated transcription, elongation", 0.0814509122502172, null, null, 1.20411998265592, -1.58284257399048, 0.864849656494598, 0.87605045, 34243, True
"GO:0071495", "cellular response to endogenous stimulus", 6.81472632493484, -1.63507145301667, -7.46037637099519, 3.09898963940118, -1.4257023887722, 1, 0, null, False
"GO:0097435", "supramolecular fiber organization", 2.72589052997394, 5.03218513652031, 3.67171936450028, 2.70156798505593, -1.4257023887722, 0.974253490362148, 0, null, False
"GO:1905288", "vascular associated smooth muscle cell apoptotic process", 0.0434404865334492, -1.40933880233646, 2.73663642740657, 0.954242509439325, -1.39566441480752, 0.998057656879888, 0.00368609, null, False
"GO:0035886", "vascular associated smooth muscle cell differentiation", 0.119461337966985, -3.61075809784626, 5.22120025280361, 1.36172783601759, -1.41701038407935, 0.977425309965021, 0.00404698, null, False
"GO:0006368", "transcription elongation from RNA polymerase II promoter", 0.244352736750652, -6.60750575797743, -1.9218513169598, 1.66275783168157, -1.30207710757668, 0.94638476375132, 0.00434813, null, False
"GO:0007268", "chemical synaptic transmission", 2.03084274543875, -2.97436825220364, -8.33104924461377, 2.57403126772772, -1.4257023887722, 0.902105758228614, 0.00557596, null, False
"GO:0099536", "synaptic signaling", 2.31863596872285, null, null, 2.63144376901317, -1.36188309798728, 0.914282428345807, 0.77933033, 7268, True
"GO:0099537", "trans-synaptic signaling", 2.12858384013901, null, null, 2.59439255037543, -1.41701038407935, 0.90253054354629, 0.94931781, 7268, True
"GO:0098916", "anterograde trans-synaptic signaling", 2.03084274543875, null, null, 2.57403126772772, -1.4257023887722, 0.902105758228614, 0.96690795, 7268, True
"GO:0098660", "inorganic ion transmembrane transport", 3.63271068635969, -4.5080391367808, 1.52693674369461, 2.82607480270083, -1.41701038407935, 0.996750988040217, 0.0060447, null, False
"GO:1905461", "positive regulation of vascular associated smooth muscle cell apoptotic process", 0.038010425716768, 6.99431027003476, -2.99711080944675, 0.903089986991944, -1.58284257399048, 0.912621839130393, 0.02327139, null, False
"GO:1905459", "regulation of vascular associated smooth muscle cell apoptotic process", 0.0597306689834926, null, null, 1.07918124604762, -1.39566441480752, 0.940898070307223, 0.84701839, 1905461, True
"GO:1905063", "regulation of vascular associated smooth muscle cell differentiation", 0.0814509122502172, -1.5160089541403, 0.300011731718739, 1.20411998265592, -1.55515072393395, 0.940379113606863, 0.02459423, null, False
"GO:1905064", "negative regulation of vascular associated smooth muscle cell differentiation", 0.038010425716768, null, null, 0.903089986991944, -1.39566441480752, 0.930411535147125, 0.83840373, 1905063, True
"GO:0048167", "regulation of synaptic plasticity", 1.30864465682016, 0.245745853873435, 5.79938684025367, 2.38381536598043, -1.58284257399048, 0.920693537908126, 0.0310182, null, False
"GO:0048518", "positive regulation of biological process", 33.5034752389227, 0.544959593544796, -2.34348376892738, 3.79035554641439, -1.84344382248239, 0.929932462981846, 0.05199256, null, False
"GO:0065008", "regulation of biological quality", 21.133796698523, -6.7031153971931, 2.4985014404593, 3.59028440371816, -1.4257023887722, 0.950545560951513, 0.08144295, null, False
"GO:2001150", "positive regulation of dipeptide transmembrane transport", 0.0108601216333623, 6.44182605551204, -0.256240910978896, 0.477121254719662, -1.39566441480752, 0.793643564025632, 0.09542499, null, False
"GO:0090089", "regulation of dipeptide transport", 0.0108601216333623, null, null, 0.477121254719662, -1.39566441480752, 0.815844418190781, 0.9998914, 2001150, True
"GO:2000878", "positive regulation of oligopeptide transport", 0.0108601216333623, null, null, 0.477121254719662, -1.39566441480752, 0.795756736453732, 0.9998914, 2001150, True
"GO:2000880", "positive regulation of dipeptide transport", 0.0108601216333623, null, null, 0.477121254719662, -1.39566441480752, 0.795756736453732, 0.9998914, 2001150, True
"GO:2001148", "regulation of dipeptide transmembrane transport", 0.0108601216333623, null, null, 0.477121254719662, -1.39566441480752, 0.814151100998572, 0.9998914, 2001150, True
"GO:0010646", "regulation of cell communication", 17.5825369244136, -0.309718328935305, -8.66139475960425, 3.51041094801018, -1.58284257399048, 0.935930001970105, 0.09969117, null, False
"GO:0023051", "regulation of signaling", 17.6476976542137, 1.67457213829111, 1.94255457628094, 3.51201696949613, -1.58284257399048, 0.940106124272927, 0.09982156, null, False
"GO:0019222", "regulation of metabolic process", 35.2248045178106, 2.4207406996815, -1.02439490873878, 3.8121108412031, -1.58284257399048, 0.928991364519668, 0.13210659, null, False
"GO:0006807", "nitrogen compound metabolic process", 35.0456125108601, -5.2537661924918, -4.80756335693643, 3.80989624660244, -1.65619709617538, 0.897027301576388, 0.13678784, null, False
"GO:0035502", "metanephric part of ureteric bud development", 0.0217202432667246, -5.14107107983901, 4.13894018028993, 0.698970004336019, -1.39566441480752, 0.981834163628324, 0.14040189, null, False
"GO:0035303", "regulation of dephosphorylation", 0.71133796698523, 4.12473777799386, -6.78068115633498, 2.12057393120585, -1.39566441480752, 0.910643131847151, 0.14082928, null, False
"GO:0048856", "anatomical structure development", 28.3992180712424, -4.1670813086485, 4.61117945356202, 3.71858472002744, -1.40918916189273, 0.977678911616363, 0.20198893, null, False
"GO:0010604", "positive regulation of macromolecule metabolic process", 18.6088184187663, 4.46154632807176, -5.01132372457039, 3.53504081325116, -1.68667871033218, 0.80243832779844, 0.20396719, null, False
"GO:0051173", "positive regulation of nitrogen compound metabolic process", 16.3879235447437, null, null, 3.4798631130231, -1.39566441480752, 0.804184273378591, 0.7297037, 10604, True
"GO:0031325", "positive regulation of cellular metabolic process", 17.5390964378801, null, null, 3.50933695801764, -1.43263175859094, 0.799851319091529, 0.74417887, 10604, True
"GO:0032784", "regulation of DNA-templated transcription, elongation", 0.276933101650738, 2.5467033440997, -7.23377972778149, 1.7160033436348, -1.52728326777873, 0.906696327668403, 0.23712896, null, False
